name,description,price,stock,image_url
Product 1,This is the description for product 1.,347.84,36,https://example.com/images/product_1.jpg
Product 2,This is the description for product 2.,511.59,88,https://example.com/images/product_2.jpg
Product 3,This is the description for product 3.,535.8,45,https://example.com/images/product_3.jpg
Product 4,This is the description for product 4.,77.89,18,https://example.com/images/product_4.jpg
Product 5,This is the description for product 5.,510.41,43,https://example.com/images/product_5.jpg
Product 6,This is the description for product 6.,848.02,59,https://example.com/images/product_6.jpg
Product 7,This is the description for product 7.,465.76,25,https://example.com/images/product_7.jpg
Product 8,This is the description for product 8.,469.97,44,https://example.com/images/product_8.jpg
Product 9,This is the description for product 9.,352.47,98,https://example.com/images/product_9.jpg
Product 10,This is the description for product 10.,626.06,81,https://example.com/images/product_10.jpg
Product 11,This is the description for product 11.,359.71,90,https://example.com/images/product_11.jpg
Product 12,This is the description for product 12.,184.6,39,https://example.com/images/product_12.jpg
Product 13,This is the description for product 13.,967.93,16,https://example.com/images/product_13.jpg
Product 14,This is the description for product 14.,731.28,40,https://example.com/images/product_14.jpg
Product 15,This is the description for product 15.,82.28,80,https://example.com/images/product_15.jpg
Product 16,This is the description for product 16.,259.39,95,https://example.com/images/product_16.jpg
Product 17,This is the description for product 17.,207.71,73,https://example.com/images/product_17.jpg
Product 18,This is the description for product 18.,512.91,18,https://example.com/images/product_18.jpg
Product 19,This is the description for product 19.,872.31,67,https://example.com/images/product_19.jpg
Product 20,This is the description for product 20.,956.39,12,https://example.com/images/product_20.jpg
Product 21,This is the description for product 21.,283.97,13,https://example.com/images/product_21.jpg
Product 22,This is the description for product 22.,752.96,12,https://example.com/images/product_22.jpg
Product 23,This is the description for product 23.,879.2,20,https://example.com/images/product_23.jpg
Product 24,This is the description for product 24.,215.58,94,https://example.com/images/product_24.jpg
Product 25,This is the description for product 25.,691.32,61,https://example.com/images/product_25.jpg
Product 26,This is the description for product 26.,369.71,48,https://example.com/images/product_26.jpg
Product 27,This is the description for product 27.,323.59,66,https://example.com/images/product_27.jpg
Product 28,This is the description for product 28.,594.5,84,https://example.com/images/product_28.jpg
Product 29,This is the description for product 29.,44.59,81,https://example.com/images/product_29.jpg
Product 30,This is the description for product 30.,944.45,7,https://example.com/images/product_30.jpg
Product 31,This is the description for product 31.,405.18,7,https://example.com/images/product_31.jpg
Product 32,This is the description for product 32.,314.65,4,https://example.com/images/product_32.jpg
Product 33,This is the description for product 33.,71.5,77,https://example.com/images/product_33.jpg
Product 34,This is the description for product 34.,321.4,76,https://example.com/images/product_34.jpg
Product 35,This is the description for product 35.,464.43,66,https://example.com/images/product_35.jpg
Product 36,This is the description for product 36.,773.54,93,https://example.com/images/product_36.jpg
Product 37,This is the description for product 37.,269.92,63,https://example.com/images/product_37.jpg
Product 38,This is the description for product 38.,716.52,31,https://example.com/images/product_38.jpg
Product 39,This is the description for product 39.,870.25,77,https://example.com/images/product_39.jpg
Product 40,This is the description for product 40.,444.15,44,https://example.com/images/product_40.jpg
Product 41,This is the description for product 41.,836.11,58,https://example.com/images/product_41.jpg
Product 42,This is the description for product 42.,344.03,30,https://example.com/images/product_42.jpg
Product 43,This is the description for product 43.,895.96,43,https://example.com/images/product_43.jpg
Product 44,This is the description for product 44.,996.48,84,https://example.com/images/product_44.jpg
Product 45,This is the description for product 45.,139.77,46,https://example.com/images/product_45.jpg
Product 46,This is the description for product 46.,350.61,80,https://example.com/images/product_46.jpg
Product 47,This is the description for product 47.,306.51,88,https://example.com/images/product_47.jpg
Product 48,This is the description for product 48.,980.55,57,https://example.com/images/product_48.jpg
Product 49,This is the description for product 49.,745.92,93,https://example.com/images/product_49.jpg
Product 50,This is the description for product 50.,523.18,30,https://example.com/images/product_50.jpg
Product 51,This is the description for product 51.,800.55,47,https://example.com/images/product_51.jpg
Product 52,This is the description for product 52.,818.77,82,https://example.com/images/product_52.jpg
Product 53,This is the description for product 53.,948.1,47,https://example.com/images/product_53.jpg
Product 54,This is the description for product 54.,240.3,39,https://example.com/images/product_54.jpg
Product 55,This is the description for product 55.,698.89,21,https://example.com/images/product_55.jpg
Product 56,This is the description for product 56.,73.67,34,https://example.com/images/product_56.jpg
Product 57,This is the description for product 57.,918.27,75,https://example.com/images/product_57.jpg
Product 58,This is the description for product 58.,422.09,41,https://example.com/images/product_58.jpg
Product 59,This is the description for product 59.,536.97,73,https://example.com/images/product_59.jpg
Product 60,This is the description for product 60.,109.21,63,https://example.com/images/product_60.jpg
Product 61,This is the description for product 61.,728.93,53,https://example.com/images/product_61.jpg
Product 62,This is the description for product 62.,507.47,88,https://example.com/images/product_62.jpg
Product 63,This is the description for product 63.,769.06,6,https://example.com/images/product_63.jpg
Product 64,This is the description for product 64.,67.75,5,https://example.com/images/product_64.jpg
Product 65,This is the description for product 65.,943.57,46,https://example.com/images/product_65.jpg
Product 66,This is the description for product 66.,848.91,6,https://example.com/images/product_66.jpg
Product 67,This is the description for product 67.,274.65,74,https://example.com/images/product_67.jpg
Product 68,This is the description for product 68.,646.88,17,https://example.com/images/product_68.jpg
Product 69,This is the description for product 69.,339.29,80,https://example.com/images/product_69.jpg
Product 70,This is the description for product 70.,414.35,84,https://example.com/images/product_70.jpg
Product 71,This is the description for product 71.,574.7,62,https://example.com/images/product_71.jpg
Product 72,This is the description for product 72.,172.83,3,https://example.com/images/product_72.jpg
Product 73,This is the description for product 73.,328.87,74,https://example.com/images/product_73.jpg
